,Master L0 Code,Master L0 Name,Master L1 Code,Master L1 Name,Master L2 Code,Master L2 Name,Master L3 Code,Master L3 Name,Master L4 Code,Master L4 Name,Master L5 Code,Master L5 Name,Master End NodeCode,Master End Node Name
1,,,,,,,,,,,,,,
2,1,Abrasives & Polishers,17025,Deburring Abrasives & Tools,6033,Carbide Burs,,,,,,,6033,Carbide Burs
3,1,Abrasives & Polishers,7384,Grinding Abrasives,6084,Dressing Sticks,,,,,,,6084,Dressing Sticks
4,1,Abrasives & Polishers,6073,Sharpening Abrasives,17022,Sharpening Stones,,,,,,,17022,Sharpening Stones
5,1,Abrasives & Polishers,6521,Sanding Abrasives,6956,Abrasive Pads & Sponges,,,,,,,6956,Abrasive Pads & Sponges
6,1,Abrasives & Polishers,7384,Grinding Abrasives,7380,Grinding Segments,,,,,,,7380,Grinding Segments
7,1,Abrasives & Polishers,17024,Buffing & Polishing,7863,Honing Brushes,,,,,,,7863,Honing Brushes
8,1,Abrasives & Polishers,7384,Grinding Abrasives,17044,Diamond Grinding Wheels,,,,,,,17044,Diamond Grinding Wheels
9,1,Abrasives & Polishers,17023,Abrasive Blasting,6091,Sand Blasters,,,,,,,6091,Sand Blasters
10,1,Abrasives & Polishers,7384,Grinding Abrasives,6083,Cup Grinding Wheels,,,,,,,6083,Cup Grinding Wheels
11,1,Abrasives & Polishers,17025,Deburring Abrasives & Tools,6067,Convolute Wheels,,,,,,,6067,Convolute Wheels
12,1,Abrasives & Polishers,17025,Deburring Abrasives & Tools,6082,Unitized Wheels,,,,,,,6082,Unitized Wheels
13,1,Abrasives & Polishers,6521,Sanding Abrasives,6072,Abrasive Rolls,,,,,,,6072,Abrasive Rolls
14,1,Abrasives & Polishers,17023,Abrasive Blasting,6092,Abrasive Blaster Accessories,,,,,,,6092,Abrasive Blaster Accessories
15,1,Abrasives & Polishers,7384,Grinding Abrasives,6071,Depressed Center Wheels,,,,,,,6071,Depressed Center Wheels
16,1,Abrasives & Polishers,7384,Grinding Abrasives,6570,Straight Grinding Wheels,,,,,,,6570,Straight Grinding Wheels
17,1,Abrasives & Polishers,6521,Sanding Abrasives,6065,Sanding Bands,,,,,,,6065,Sanding Bands
18,1,Abrasives & Polishers,17026,Abrasive Accessories,6075,Abrasive Test Kits,,,,,,,6075,Abrasive Test Kits
19,1,Abrasives & Polishers,17026,Abrasive Accessories,9421,Reducing Bushing,,,,,,,9421,Reducing Bushing
20,1,Abrasives & Polishers,6521,Sanding Abrasives,6069,Flap Wheels,,,,,,,6069,Flap Wheels
